strategy,trades,win_rate,pnl,sharpe
Blackwell,19035,0.4962962962962963,5973.109919966636,10.650564420466864
StatArb (best),19035,0.4962962962962963,575.7162587915382,10.706621421873711
Mean-Reversion,18553,0.7236026518622325,84.0162286357577,3.3236664876279707
