strategy,trades,win_rate,pnl,sharpe
Blackwell,19035,0.4962962962962963,5973.109919966636,10.650564420466864
StatArb (best),21316,0.043535372490148244,,0.0
Mean-Reversion,18553,0.14703821484396054,,0.0
