name,n,logloss,logloss_lo,logloss_hi,brier,brier_lo,brier_hi,ece,ece_lo,ece_hi,pnl_per_event,pnl_lo,pnl_hi,kelly_roi,roi_lo,roi_hi
diffusion,506,0.6865984461371436,0.6101464680088601,0.7608136828362819,0.21968629256277822,0.1925543685305475,0.24603494955247918,0.14650569034541547,0.11284428030793582,0.18663744916458405,0.15594960474308303,0.12233112648221345,0.19245370553359684,21970084704.453194,1310463.8035609268,250679367764088.0
ar_base,506,0.6400997120939393,0.5645627309474763,0.7271441181629283,0.20184901836830832,0.18281708373064873,0.22065399118244292,0.11548794603209979,0.08740216543698874,0.1548565477129328,0.09081521739130435,0.05582228260869565,0.12516645256916997,1520.9026564184296,-0.9245628907708956,25694338.62984598
market,506,0.5916598388320669,0.5631509747815574,0.6199310485814378,0.20760845074255194,0.1956950302111844,0.21986236479625582,0.18104644308764886,0.15913330065877926,0.21780027272704278,0.0,0.0,0.0,0.0,0.0,0.0
learnedCt,506,0.9687773026786285,0.9358966142503554,1.0031109516012007,0.37488253091043194,0.36077058819852154,0.39070879295387667,0.4156230265208383,0.3806433308192274,0.4528867228847483,-0.15290415019762846,-0.18968473320158102,-0.11880501482213437,-1.0,-1.0,-1.0
rlvr_4bit,506,1.7308648768413522,1.4015199529411568,2.0370985187269386,0.23025146905316204,0.19557488766010567,0.2606939230214545,0.20037194048657123,0.1586743207911141,0.2359943279440713,0.14465513833992097,0.1110348814229249,0.17772248023715417,65628873078.27087,6486864.786231741,737636939739814.2
